country,nThumbsUp,city,reportRating,confidence,reliability,type,uuid,roadType,magvar,subtype,street,location/x,location/y,pubMillis,reportDescription
ID,0,,3,0,5,JAM,5abd6e29-6d9c-3e83-a3b5-51f6d8697825,6,190,JAM_HEAVY_TRAFFIC,N2 Jalan Raya Bogor,106.867422,-6.27069,1507269756886,
ID,0,Jakarta Pusat,0,0,5,JAM,5eec12f7-0368-3a0b-b91c-742884b057a8,6,18,JAM_MODERATE_TRAFFIC,Flyover Cempaka Mas,106.878059,-6.167731,1507269416784,
ID,0,Jakarta Timur,1,0,5,JAM,8b8b38e2-eaf4-36e1-82c8-6df4643dafeb,6,23,JAM_STAND_STILL_TRAFFIC,N13 DI Panjaitan,106.876245,-6.243833,1507270201645,
ID,0,,4,5,10,WEATHERHAZARD,7c8f4004-b3d0-3b91-baaa-a056d1bb665d,3,327,HAZARD_ON_SHOULDER_CAR_STOPPED,Tol Lingkar Luar (Ulujami-Kembangan),106.747281,-6.221915,1507267171361,
ID,0,,2,4,10,ACCIDENT,53e1406e-9a73-34ad-b762-debe950be96f,3,90,ACCIDENT_MINOR,Tol Lingkar Luar (Ulujami-TMII),106.804196,-6.292292,1507267848319,
ID,0,,1,3,10,JAM,d7e899b2-5db9-3c4d-b368-da1f2d7d97b2,3,291,JAM_HEAVY_TRAFFIC,Tol Cawang-Tebet,106.866626,-6.243884,1507268922187,
ID,0,,1,1,7,JAM,7ab3a89e-ae92-31da-86be-b58896e78bda,3,268,JAM_STAND_STILL_TRAFFIC,Tol Tebet-Kuningan,106.849663,-6.243385,1507269254178,
ID,0,,1,1,7,WEATHERHAZARD,fe3bfca2-729b-36f2-99f4-d6d039ae8ebb,3,269,HAZARD_ON_SHOULDER_CAR_STOPPED,Tol Lingkar Luar (TMII-Ulujami),106.807195,-6.292366,1507269724066,
ID,0,,1,0,5,JAM,b66e1b1f-9639-3bcf-9210-85fa36feead5,3,270,JAM_HEAVY_TRAFFIC,Tol Cawang-Tebet,106.860777,-6.243207,1507269976667,
ID,0,,0,0,5,JAM,0347e264-c7d7-3a1f-a3be-efdea535ecb0,3,112,JAM_MODERATE_TRAFFIC,Tol Lingkar Luar (Ulujami-TMII),106.82314,-6.294084,1507270019685,
ID,0,,1,1,7,JAM,6a6f3f8c-3e3d-302d-83e1-78f1f5bc0686,3,270,JAM_HEAVY_TRAFFIC,Tol Cawang-Tebet,106.854317,-6.243273,1507270053588,
ID,0,,0,4,10,JAM,02622502-13fd-355f-8610-a0e3bea44c8b,3,319,JAM_STAND_STILL_TRAFFIC,Tol Prof Dr Ir Sedyatmo,106.728063,-6.110587,1507267739924,Ini sih keterlaluan...masa udah 1 jam lebih?  E-toll bukannya untuk mempercepat ya?
ID,0,,3,0,5,JAM,441bc1f4-517f-3775-93e4-20bb36bdcd0c,3,318,JAM_HEAVY_TRAFFIC,Tol Prof Dr Ir Sedyatmo,106.731864,-6.114842,1507269199592,
ID,0,,0,2,10,ACCIDENT,ff6c0436-5172-3d76-90fa-b6b59852640f,3,281,ACCIDENT_MAJOR,Tol Pelabuhan,106.862151,-6.122248,1507263989053,
ID,0,,1,5,10,JAM,b6c982ee-dc41-38b3-8486-97962984640b,3,317,JAM_STAND_STILL_TRAFFIC,Tol Prof Dr Ir Sedyatmo,106.716689,-6.097751,1507263859896,
ID,0,,1,5,10,JAM,b9300b2c-b8fe-33e2-8d30-57d96fe98e7a,3,319,JAM_STAND_STILL_TRAFFIC,Tol Prof Dr Ir Sedyatmo,106.721804,-6.103581,1507265597870,selamat.. program e toll telah brhasil mnambah kemacetan toll ini.. wkwkwk..
ID,0,,0,0,6,JAM,00d4f2e7-0a4b-3aae-b0ff-f88892393271,3,100,JAM_MODERATE_TRAFFIC,Tol Pelabuhan,106.881128,-6.126021,1507269788896,
ID,0,,2,0,5,JAM,73bae3cb-6e88-35c8-8747-2b2815584404,3,76,JAM_HEAVY_TRAFFIC,Tol Pelabuhan,106.807368,-6.130957,1507269977987,
ID,0,,3,0,5,JAM,99a5bf6b-319c-37e0-97ca-386055e4919c,3,214,JAM_STAND_STILL_TRAFFIC,Tol Lingkar Luar Barat,106.732093,-6.120846,1507269991273,
ID,0,,0,0,5,JAM,2b3f06b7-8293-3830-9205-4032cc68f2f0,3,281,JAM_STAND_STILL_TRAFFIC,Tol Pelabuhan,106.874591,-6.124919,1507270013693,
ID,0,,2,0,5,JAM,0cff6616-1168-3fc5-9557-20a33d4a9344,3,272,JAM_STAND_STILL_TRAFFIC,Tol Prof Dr Ir Sedyatmo,106.747825,-6.12269,1507270075662,
ID,0,,1,0,5,JAM,0aa665ee-daf2-38fb-b863-f1a7fc2c3ed9,3,316,JAM_HEAVY_TRAFFIC,Tol Prof Dr Ir Sedyatmo,106.734163,-6.117074,1507270128137,
ID,0,,3,0,6,WEATHERHAZARD,fe5c495f-65e2-3baa-9b61-d2abaf8168d5,3,167,HAZARD_ON_ROAD_CONSTRUCTION,Tol Jagorawi,106.883269,-6.301177,1507269509508,
ID,0,,1,0,5,JAM,5483341d-b65a-3a51-af57-8be3c6e9b2a5,3,212,JAM_HEAVY_TRAFFIC,Tol Wiyoto Wiyono,106.885582,-6.155738,1507269822173,
